k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,1.0,0.3333333333333333,0.05,0.08695652173913045,1
4,1.0,0.25,0.05,0.08333333333333334,0
5,2.0,0.4,0.1,0.16000000000000003,1
6,2.0,0.3333333333333333,0.1,0.15384615384615383,0
7,3.0,0.42857142857142855,0.15,0.2222222222222222,1
8,3.0,0.375,0.15,0.21428571428571425,0
9,4.0,0.4444444444444444,0.2,0.2758620689655173,1
10,4.0,0.4,0.2,0.26666666666666666,0
11,4.0,0.36363636363636365,0.2,0.25806451612903225,0
12,5.0,0.4166666666666667,0.25,0.3125,1
13,5.0,0.38461538461538464,0.25,0.30303030303030304,0
14,6.0,0.42857142857142855,0.3,0.3529411764705882,1
15,6.0,0.4,0.3,0.34285714285714286,0
16,7.0,0.4375,0.35,0.38888888888888884,1
17,7.0,0.4117647058823529,0.35,0.37837837837837834,0
18,8.0,0.4444444444444444,0.4,0.4210526315789474,1
19,9.0,0.47368421052631576,0.45,0.46153846153846156,1
20,9.0,0.45,0.45,0.45,0
