k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.021739130434782608,0.042553191489361694,1
2,2.0,1.0,0.043478260869565216,0.08333333333333333,1
3,3.0,1.0,0.06521739130434782,0.12244897959183672,1
4,4.0,1.0,0.08695652173913043,0.16,1
5,5.0,1.0,0.10869565217391304,0.19607843137254902,1
6,6.0,1.0,0.13043478260869565,0.23076923076923078,1
7,7.0,1.0,0.15217391304347827,0.2641509433962264,1
8,8.0,1.0,0.17391304347826086,0.29629629629629634,1
9,9.0,1.0,0.1956521739130435,0.32727272727272727,1
10,10.0,1.0,0.21739130434782608,0.3571428571428571,1
11,11.0,1.0,0.2391304347826087,0.3859649122807018,1
12,12.0,1.0,0.2608695652173913,0.41379310344827586,1
13,13.0,1.0,0.2826086956521739,0.4406779661016949,1
14,14.0,1.0,0.30434782608695654,0.4666666666666667,1
15,15.0,1.0,0.32608695652173914,0.4918032786885246,1
16,16.0,1.0,0.34782608695652173,0.5161290322580645,1
17,17.0,1.0,0.3695652173913043,0.5396825396825397,1
18,18.0,1.0,0.391304347826087,0.5625,1
19,19.0,1.0,0.41304347826086957,0.5846153846153846,1
20,20.0,1.0,0.43478260869565216,0.6060606060606061,1
