k,hits,precision,recall,fmeasure
1,1.0,1.0,0.01694915254237288,0.03333333333333333
2,2.0,1.0,0.03389830508474576,0.06557377049180328
3,3.0,1.0,0.05084745762711865,0.0967741935483871
4,4.0,1.0,0.06779661016949153,0.12698412698412698
5,5.0,1.0,0.0847457627118644,0.15625
6,5.0,0.8333333333333334,0.0847457627118644,0.15384615384615385
7,6.0,0.8571428571428571,0.1016949152542373,0.18181818181818182
8,7.0,0.875,0.11864406779661017,0.208955223880597
9,8.0,0.8888888888888888,0.13559322033898305,0.2352941176470588
10,9.0,0.9,0.15254237288135594,0.2608695652173913
11,9.0,0.8181818181818182,0.15254237288135594,0.2571428571428571
12,10.0,0.8333333333333334,0.1694915254237288,0.2816901408450704
13,11.0,0.8461538461538461,0.1864406779661017,0.3055555555555555
14,11.0,0.7857142857142857,0.1864406779661017,0.3013698630136986
15,12.0,0.8,0.2033898305084746,0.3243243243243243
16,13.0,0.8125,0.22033898305084745,0.3466666666666666
17,14.0,0.8235294117647058,0.23728813559322035,0.368421052631579
18,15.0,0.8333333333333334,0.2542372881355932,0.38961038961038963
19,16.0,0.8421052631578947,0.2711864406779661,0.41025641025641024
20,17.0,0.85,0.288135593220339,0.43037974683544306
