k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.08333333333333333,0.14285714285714285,1
3,2.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,1
4,3.0,0.75,0.25,0.375,1
5,4.0,0.8,0.3333333333333333,0.47058823529411764,1
6,5.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,1
7,5.0,0.7142857142857143,0.4166666666666667,0.5263157894736842,0
8,6.0,0.75,0.5,0.6,1
9,6.0,0.6666666666666666,0.5,0.5714285714285715,0
10,7.0,0.7,0.5833333333333334,0.6363636363636365,1
11,7.0,0.6363636363636364,0.5833333333333334,0.6086956521739131,0
12,7.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
13,7.0,0.5384615384615384,0.5833333333333334,0.5599999999999999,0
14,7.0,0.5,0.5833333333333334,0.5384615384615384,0
15,7.0,0.4666666666666667,0.5833333333333334,0.5185185185185186,0
16,7.0,0.4375,0.5833333333333334,0.5,0
17,7.0,0.4117647058823529,0.5833333333333334,0.4827586206896552,0
18,8.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,1
19,8.0,0.42105263157894735,0.6666666666666666,0.5161290322580646,0
20,9.0,0.45,0.75,0.5625000000000001,1
