k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.07142857142857142,0.125
3,2.0,0.6666666666666666,0.14285714285714285,0.23529411764705882
4,3.0,0.75,0.21428571428571427,0.3333333333333333
5,3.0,0.6,0.21428571428571427,0.3157894736842105
6,4.0,0.6666666666666666,0.2857142857142857,0.4
7,4.0,0.5714285714285714,0.2857142857142857,0.38095238095238093
8,5.0,0.625,0.35714285714285715,0.45454545454545453
9,5.0,0.5555555555555556,0.35714285714285715,0.43478260869565216
10,5.0,0.5,0.35714285714285715,0.41666666666666663
11,6.0,0.5454545454545454,0.42857142857142855,0.4799999999999999
12,7.0,0.5833333333333334,0.5,0.5384615384615384
13,7.0,0.5384615384615384,0.5,0.5185185185185186
14,7.0,0.5,0.5,0.5
15,7.0,0.4666666666666667,0.5,0.4827586206896552
16,7.0,0.4375,0.5,0.4666666666666667
17,7.0,0.4117647058823529,0.5,0.45161290322580644
18,7.0,0.3888888888888889,0.5,0.43750000000000006
19,7.0,0.3684210526315789,0.5,0.4242424242424242
20,7.0,0.35,0.5,0.4117647058823529
