k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.03225806451612903,0.0625,1
2,2.0,1.0,0.06451612903225806,0.12121212121212122,1
3,2.0,0.6666666666666666,0.06451612903225806,0.1176470588235294,0
4,3.0,0.75,0.0967741935483871,0.1714285714285714,1
5,4.0,0.8,0.12903225806451613,0.2222222222222222,1
6,5.0,0.8333333333333334,0.16129032258064516,0.27027027027027023,1
7,5.0,0.7142857142857143,0.16129032258064516,0.2631578947368421,0
8,5.0,0.625,0.16129032258064516,0.2564102564102564,0
9,6.0,0.6666666666666666,0.1935483870967742,0.30000000000000004,1
10,6.0,0.6,0.1935483870967742,0.2926829268292683,0
11,7.0,0.6363636363636364,0.22580645161290322,0.3333333333333333,1
12,8.0,0.6666666666666666,0.25806451612903225,0.37209302325581395,1
13,9.0,0.6923076923076923,0.2903225806451613,0.4090909090909091,1
14,10.0,0.7142857142857143,0.3225806451612903,0.4444444444444444,1
15,10.0,0.6666666666666666,0.3225806451612903,0.4347826086956521,0
16,10.0,0.625,0.3225806451612903,0.425531914893617,0
17,11.0,0.6470588235294118,0.3548387096774194,0.4583333333333333,1
18,11.0,0.6111111111111112,0.3548387096774194,0.4489795918367347,0
19,12.0,0.631578947368421,0.3870967741935484,0.48000000000000004,1
20,13.0,0.65,0.41935483870967744,0.5098039215686274,1
