k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.029411764705882353,0.05714285714285715,1
2,2.0,1.0,0.058823529411764705,0.1111111111111111,1
3,3.0,1.0,0.08823529411764706,0.1621621621621622,1
4,4.0,1.0,0.11764705882352941,0.21052631578947367,1
5,5.0,1.0,0.14705882352941177,0.25641025641025644,1
6,6.0,1.0,0.17647058823529413,0.3,1
7,7.0,1.0,0.20588235294117646,0.34146341463414637,1
8,8.0,1.0,0.23529411764705882,0.38095238095238093,1
9,9.0,1.0,0.2647058823529412,0.4186046511627907,1
10,10.0,1.0,0.29411764705882354,0.45454545454545453,1
11,11.0,1.0,0.3235294117647059,0.48888888888888893,1
12,11.0,0.9166666666666666,0.3235294117647059,0.4782608695652174,0
13,12.0,0.9230769230769231,0.35294117647058826,0.5106382978723405,1
14,13.0,0.9285714285714286,0.38235294117647056,0.5416666666666667,1
15,14.0,0.9333333333333333,0.4117647058823529,0.5714285714285713,1
16,15.0,0.9375,0.4411764705882353,0.6,1
17,16.0,0.9411764705882353,0.47058823529411764,0.627450980392157,1
18,17.0,0.9444444444444444,0.5,0.6538461538461539,1
19,18.0,0.9473684210526315,0.5294117647058824,0.679245283018868,1
20,19.0,0.95,0.5588235294117647,0.7037037037037037,1
