k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.022222222222222223,0.04347826086956522,1
2,2.0,1.0,0.044444444444444446,0.0851063829787234,1
3,2.0,0.6666666666666666,0.044444444444444446,0.08333333333333334,0
4,3.0,0.75,0.06666666666666667,0.12244897959183675,1
5,4.0,0.8,0.08888888888888889,0.15999999999999998,1
6,4.0,0.6666666666666666,0.08888888888888889,0.1568627450980392,0
7,5.0,0.7142857142857143,0.1111111111111111,0.19230769230769232,1
8,6.0,0.75,0.13333333333333333,0.22641509433962267,1
9,7.0,0.7777777777777778,0.15555555555555556,0.25925925925925924,1
10,8.0,0.8,0.17777777777777778,0.2909090909090909,1
11,9.0,0.8181818181818182,0.2,0.32142857142857145,1
12,10.0,0.8333333333333334,0.2222222222222222,0.3508771929824561,1
13,11.0,0.8461538461538461,0.24444444444444444,0.37931034482758624,1
14,12.0,0.8571428571428571,0.26666666666666666,0.4067796610169491,1
15,13.0,0.8666666666666667,0.28888888888888886,0.43333333333333335,1
16,13.0,0.8125,0.28888888888888886,0.4262295081967213,0
17,14.0,0.8235294117647058,0.3111111111111111,0.45161290322580644,1
18,15.0,0.8333333333333334,0.3333333333333333,0.47619047619047616,1
19,15.0,0.7894736842105263,0.3333333333333333,0.46875,0
20,16.0,0.8,0.35555555555555557,0.4923076923076923,1
