k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.01694915254237288,0.03278688524590164
3,2.0,0.6666666666666666,0.03389830508474576,0.06451612903225806
4,3.0,0.75,0.05084745762711865,0.09523809523809525
5,4.0,0.8,0.06779661016949153,0.125
6,4.0,0.6666666666666666,0.06779661016949153,0.12307692307692307
7,4.0,0.5714285714285714,0.06779661016949153,0.12121212121212119
8,5.0,0.625,0.0847457627118644,0.14925373134328357
9,6.0,0.6666666666666666,0.1016949152542373,0.1764705882352941
10,6.0,0.6,0.1016949152542373,0.17391304347826086
11,6.0,0.5454545454545454,0.1016949152542373,0.17142857142857146
12,7.0,0.5833333333333334,0.11864406779661017,0.19718309859154928
13,7.0,0.5384615384615384,0.11864406779661017,0.19444444444444445
14,7.0,0.5,0.11864406779661017,0.1917808219178082
15,8.0,0.5333333333333333,0.13559322033898305,0.21621621621621623
16,9.0,0.5625,0.15254237288135594,0.24000000000000002
17,10.0,0.5882352941176471,0.1694915254237288,0.2631578947368421
18,10.0,0.5555555555555556,0.1694915254237288,0.2597402597402597
19,11.0,0.5789473684210527,0.1864406779661017,0.2820512820512821
20,12.0,0.6,0.2033898305084746,0.3037974683544304
