k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.058823529411764705,0.10526315789473684,1
3,1.0,0.3333333333333333,0.058823529411764705,0.1,0
4,2.0,0.5,0.11764705882352941,0.19047619047619047,1
5,3.0,0.6,0.17647058823529413,0.2727272727272727,1
6,3.0,0.5,0.17647058823529413,0.2608695652173913,0
7,3.0,0.42857142857142855,0.17647058823529413,0.25,0
8,4.0,0.5,0.23529411764705882,0.31999999999999995,1
9,4.0,0.4444444444444444,0.23529411764705882,0.30769230769230765,0
10,5.0,0.5,0.29411764705882354,0.37037037037037035,1
11,6.0,0.5454545454545454,0.35294117647058826,0.42857142857142855,1
12,7.0,0.5833333333333334,0.4117647058823529,0.4827586206896552,1
13,8.0,0.6153846153846154,0.47058823529411764,0.5333333333333333,1
14,9.0,0.6428571428571429,0.5294117647058824,0.5806451612903226,1
15,10.0,0.6666666666666666,0.5882352941176471,0.625,1
16,10.0,0.625,0.5882352941176471,0.6060606060606061,0
17,10.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,0
18,11.0,0.6111111111111112,0.6470588235294118,0.6285714285714287,1
19,12.0,0.631578947368421,0.7058823529411765,0.6666666666666667,1
20,13.0,0.65,0.7647058823529411,0.7027027027027027,1
