k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,1.0,0.14285714285714285,0.07142857142857142,0.09523809523809523
8,1.0,0.125,0.07142857142857142,0.09090909090909091
9,2.0,0.2222222222222222,0.14285714285714285,0.17391304347826086
10,2.0,0.2,0.14285714285714285,0.16666666666666666
11,2.0,0.18181818181818182,0.14285714285714285,0.16
12,2.0,0.16666666666666666,0.14285714285714285,0.15384615384615383
13,3.0,0.23076923076923078,0.21428571428571427,0.22222222222222224
14,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427
15,3.0,0.2,0.21428571428571427,0.20689655172413796
16,4.0,0.25,0.2857142857142857,0.26666666666666666
17,4.0,0.23529411764705882,0.2857142857142857,0.2580645161290323
18,4.0,0.2222222222222222,0.2857142857142857,0.25
19,4.0,0.21052631578947367,0.2857142857142857,0.24242424242424243
20,4.0,0.2,0.2857142857142857,0.23529411764705882
