k,hits,precision,recall,fmeasure
1,1.0,1.0,0.021739130434782608,0.042553191489361694
2,2.0,1.0,0.043478260869565216,0.08333333333333333
3,2.0,0.6666666666666666,0.043478260869565216,0.08163265306122448
4,3.0,0.75,0.06521739130434782,0.12
5,4.0,0.8,0.08695652173913043,0.1568627450980392
6,5.0,0.8333333333333334,0.10869565217391304,0.1923076923076923
7,5.0,0.7142857142857143,0.10869565217391304,0.18867924528301885
8,5.0,0.625,0.10869565217391304,0.18518518518518517
9,6.0,0.6666666666666666,0.13043478260869565,0.21818181818181817
10,7.0,0.7,0.15217391304347827,0.25
11,7.0,0.6363636363636364,0.15217391304347827,0.2456140350877193
12,7.0,0.5833333333333334,0.15217391304347827,0.2413793103448276
13,8.0,0.6153846153846154,0.17391304347826086,0.2711864406779661
14,8.0,0.5714285714285714,0.17391304347826086,0.26666666666666666
15,9.0,0.6,0.1956521739130435,0.29508196721311475
16,10.0,0.625,0.21739130434782608,0.3225806451612903
17,10.0,0.5882352941176471,0.21739130434782608,0.3174603174603175
18,11.0,0.6111111111111112,0.2391304347826087,0.34375
19,12.0,0.631578947368421,0.2608695652173913,0.3692307692307692
20,13.0,0.65,0.2826086956521739,0.3939393939393939
