k,hits,precision,recall,fmeasure
1,1.0,1.0,0.010416666666666666,0.020618556701030924
2,2.0,1.0,0.020833333333333332,0.04081632653061225
3,2.0,0.6666666666666666,0.020833333333333332,0.0404040404040404
4,3.0,0.75,0.03125,0.06
5,4.0,0.8,0.041666666666666664,0.07920792079207921
6,5.0,0.8333333333333334,0.052083333333333336,0.09803921568627451
7,6.0,0.8571428571428571,0.0625,0.11650485436893204
8,7.0,0.875,0.07291666666666667,0.13461538461538464
9,8.0,0.8888888888888888,0.08333333333333333,0.15238095238095237
10,8.0,0.8,0.08333333333333333,0.1509433962264151
11,9.0,0.8181818181818182,0.09375,0.16822429906542055
12,10.0,0.8333333333333334,0.10416666666666667,0.1851851851851852
13,11.0,0.8461538461538461,0.11458333333333333,0.20183486238532108
14,11.0,0.7857142857142857,0.11458333333333333,0.19999999999999998
15,11.0,0.7333333333333333,0.11458333333333333,0.19819819819819817
16,11.0,0.6875,0.11458333333333333,0.1964285714285714
17,12.0,0.7058823529411765,0.125,0.21238938053097345
18,13.0,0.7222222222222222,0.13541666666666666,0.22807017543859648
19,14.0,0.7368421052631579,0.14583333333333334,0.24347826086956523
20,14.0,0.7,0.14583333333333334,0.2413793103448276
