k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.022222222222222223,0.04347826086956522,1
2,2.0,1.0,0.044444444444444446,0.0851063829787234,1
3,3.0,1.0,0.06666666666666667,0.125,1
4,3.0,0.75,0.06666666666666667,0.12244897959183675,0
5,4.0,0.8,0.08888888888888889,0.15999999999999998,1
6,5.0,0.8333333333333334,0.1111111111111111,0.19607843137254902,1
7,6.0,0.8571428571428571,0.13333333333333333,0.23076923076923078,1
8,7.0,0.875,0.15555555555555556,0.26415094339622647,1
9,8.0,0.8888888888888888,0.17777777777777778,0.2962962962962963,1
10,9.0,0.9,0.2,0.32727272727272727,1
11,10.0,0.9090909090909091,0.2222222222222222,0.3571428571428571,1
12,11.0,0.9166666666666666,0.24444444444444444,0.3859649122807018,1
13,12.0,0.9230769230769231,0.26666666666666666,0.4137931034482759,1
14,13.0,0.9285714285714286,0.28888888888888886,0.44067796610169485,1
15,14.0,0.9333333333333333,0.3111111111111111,0.4666666666666667,1
16,15.0,0.9375,0.3333333333333333,0.49180327868852464,1
17,15.0,0.8823529411764706,0.3333333333333333,0.48387096774193544,0
18,16.0,0.8888888888888888,0.35555555555555557,0.5079365079365079,1
19,17.0,0.8947368421052632,0.37777777777777777,0.53125,1
20,17.0,0.85,0.37777777777777777,0.523076923076923,0
