k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.07692307692307693,0.14285714285714288,1
2,1.0,0.5,0.07692307692307693,0.13333333333333336,0
3,2.0,0.6666666666666666,0.15384615384615385,0.25,1
4,3.0,0.75,0.23076923076923078,0.3529411764705882,1
5,4.0,0.8,0.3076923076923077,0.4444444444444444,1
6,5.0,0.8333333333333334,0.38461538461538464,0.5263157894736842,1
7,5.0,0.7142857142857143,0.38461538461538464,0.5,0
8,5.0,0.625,0.38461538461538464,0.4761904761904762,0
9,5.0,0.5555555555555556,0.38461538461538464,0.4545454545454546,0
10,5.0,0.5,0.38461538461538464,0.4347826086956522,0
11,5.0,0.45454545454545453,0.38461538461538464,0.41666666666666663,0
12,5.0,0.4166666666666667,0.38461538461538464,0.4,0
13,5.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0
14,5.0,0.35714285714285715,0.38461538461538464,0.3703703703703704,0
15,5.0,0.3333333333333333,0.38461538461538464,0.3571428571428571,0
16,5.0,0.3125,0.38461538461538464,0.3448275862068966,0
17,5.0,0.29411764705882354,0.38461538461538464,0.33333333333333337,0
18,5.0,0.2777777777777778,0.38461538461538464,0.3225806451612903,0
19,5.0,0.2631578947368421,0.38461538461538464,0.3125,0
20,5.0,0.25,0.38461538461538464,0.30303030303030304,0
