k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.07142857142857142,0.13333333333333333,1
2,2.0,1.0,0.14285714285714285,0.25,1
3,3.0,1.0,0.21428571428571427,0.35294117647058826,1
4,4.0,1.0,0.2857142857142857,0.4444444444444445,1
5,5.0,1.0,0.35714285714285715,0.5263157894736842,1
6,6.0,1.0,0.42857142857142855,0.6,1
7,6.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0
8,6.0,0.75,0.42857142857142855,0.5454545454545454,0
9,6.0,0.6666666666666666,0.42857142857142855,0.5217391304347826,0
10,6.0,0.6,0.42857142857142855,0.5,0
11,6.0,0.5454545454545454,0.42857142857142855,0.4799999999999999,0
12,6.0,0.5,0.42857142857142855,0.4615384615384615,0
13,6.0,0.46153846153846156,0.42857142857142855,0.4444444444444445,0
14,6.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0
15,6.0,0.4,0.42857142857142855,0.4137931034482759,0
16,6.0,0.375,0.42857142857142855,0.39999999999999997,0
17,6.0,0.35294117647058826,0.42857142857142855,0.3870967741935484,0
18,6.0,0.3333333333333333,0.42857142857142855,0.375,0
19,6.0,0.3157894736842105,0.42857142857142855,0.36363636363636365,0
20,6.0,0.3,0.42857142857142855,0.3529411764705882,0
