k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02127659574468085,0.04166666666666667,1
2,2.0,1.0,0.0425531914893617,0.08163265306122448,1
3,3.0,1.0,0.06382978723404255,0.12,1
4,4.0,1.0,0.0851063829787234,0.1568627450980392,1
5,5.0,1.0,0.10638297872340426,0.1923076923076923,1
6,6.0,1.0,0.1276595744680851,0.22641509433962262,1
7,6.0,0.8571428571428571,0.1276595744680851,0.2222222222222222,0
8,6.0,0.75,0.1276595744680851,0.2181818181818182,0
9,6.0,0.6666666666666666,0.1276595744680851,0.21428571428571427,0
10,6.0,0.6,0.1276595744680851,0.21052631578947367,0
11,6.0,0.5454545454545454,0.1276595744680851,0.2068965517241379,0
12,6.0,0.5,0.1276595744680851,0.20338983050847456,0
13,6.0,0.46153846153846156,0.1276595744680851,0.2,0
14,6.0,0.42857142857142855,0.1276595744680851,0.1967213114754098,0
15,6.0,0.4,0.1276595744680851,0.1935483870967742,0
16,6.0,0.375,0.1276595744680851,0.1904761904761905,0
17,6.0,0.35294117647058826,0.1276595744680851,0.18749999999999997,0
18,6.0,0.3333333333333333,0.1276595744680851,0.18461538461538457,0
19,6.0,0.3157894736842105,0.1276595744680851,0.1818181818181818,0
20,6.0,0.3,0.1276595744680851,0.17910447761194026,0
