k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02,0.0392156862745098,1
2,2.0,1.0,0.04,0.07692307692307693,1
3,3.0,1.0,0.06,0.11320754716981131,1
4,3.0,0.75,0.06,0.1111111111111111,0
5,3.0,0.6,0.06,0.1090909090909091,0
6,3.0,0.5,0.06,0.10714285714285712,0
7,3.0,0.42857142857142855,0.06,0.10526315789473684,0
8,3.0,0.375,0.06,0.10344827586206896,0
9,3.0,0.3333333333333333,0.06,0.10169491525423728,0
10,3.0,0.3,0.06,0.09999999999999999,0
11,3.0,0.2727272727272727,0.06,0.09836065573770492,0
12,3.0,0.25,0.06,0.0967741935483871,0
13,3.0,0.23076923076923078,0.06,0.09523809523809523,0
14,3.0,0.21428571428571427,0.06,0.09375,0
15,3.0,0.2,0.06,0.09230769230769231,0
16,3.0,0.1875,0.06,0.09090909090909091,0
17,3.0,0.17647058823529413,0.06,0.08955223880597014,0
18,3.0,0.16666666666666666,0.06,0.08823529411764705,0
19,3.0,0.15789473684210525,0.06,0.08695652173913043,0
20,3.0,0.15,0.06,0.08571428571428572,0
