k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.1,0.18181818181818182,1
2,2.0,1.0,0.2,0.33333333333333337,1
3,3.0,1.0,0.3,0.4615384615384615,1
4,3.0,0.75,0.3,0.4285714285714285,0
5,3.0,0.6,0.3,0.4,0
6,3.0,0.5,0.3,0.37499999999999994,0
7,3.0,0.42857142857142855,0.3,0.3529411764705882,0
8,3.0,0.375,0.3,0.33333333333333326,0
9,3.0,0.3333333333333333,0.3,0.3157894736842105,0
10,4.0,0.4,0.4,0.4000000000000001,1
11,5.0,0.45454545454545453,0.5,0.47619047619047616,1
12,5.0,0.4166666666666667,0.5,0.45454545454545453,0
13,6.0,0.46153846153846156,0.6,0.5217391304347826,1
14,6.0,0.42857142857142855,0.6,0.5,0
15,7.0,0.4666666666666667,0.7,0.56,1
16,7.0,0.4375,0.7,0.5384615384615384,0
17,8.0,0.47058823529411764,0.8,0.5925925925925927,1
18,8.0,0.4444444444444444,0.8,0.5714285714285714,0
19,8.0,0.42105263157894735,0.8,0.5517241379310345,0
20,9.0,0.45,0.9,0.6,1
