k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.015625,0.03076923076923077,1
2,2.0,1.0,0.03125,0.06060606060606061,1
3,3.0,1.0,0.046875,0.08955223880597014,1
4,4.0,1.0,0.0625,0.11764705882352941,1
5,4.0,0.8,0.0625,0.11594202898550725,0
6,5.0,0.8333333333333334,0.078125,0.14285714285714285,1
7,6.0,0.8571428571428571,0.09375,0.16901408450704225,1
8,7.0,0.875,0.109375,0.19444444444444445,1
9,8.0,0.8888888888888888,0.125,0.2191780821917808,1
10,9.0,0.9,0.140625,0.24324324324324326,1
11,10.0,0.9090909090909091,0.15625,0.2666666666666666,1
12,10.0,0.8333333333333334,0.15625,0.2631578947368421,0
13,11.0,0.8461538461538461,0.171875,0.2857142857142857,1
14,12.0,0.8571428571428571,0.1875,0.30769230769230765,1
15,13.0,0.8666666666666667,0.203125,0.32911392405063294,1
16,14.0,0.875,0.21875,0.35,1
17,15.0,0.8823529411764706,0.234375,0.37037037037037035,1
18,16.0,0.8888888888888888,0.25,0.3902439024390244,1
19,16.0,0.8421052631578947,0.25,0.3855421686746988,0
20,16.0,0.8,0.25,0.38095238095238093,0
