k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.05555555555555555,0.10526315789473684,1
2,1.0,0.5,0.05555555555555555,0.09999999999999999,0
3,2.0,0.6666666666666666,0.1111111111111111,0.1904761904761905,1
4,3.0,0.75,0.16666666666666666,0.27272727272727276,1
5,4.0,0.8,0.2222222222222222,0.3478260869565218,1
6,4.0,0.6666666666666666,0.2222222222222222,0.3333333333333333,0
7,4.0,0.5714285714285714,0.2222222222222222,0.32,0
8,5.0,0.625,0.2777777777777778,0.3846153846153846,1
9,5.0,0.5555555555555556,0.2777777777777778,0.3703703703703704,0
10,5.0,0.5,0.2777777777777778,0.35714285714285715,0
11,5.0,0.45454545454545453,0.2777777777777778,0.3448275862068966,0
12,5.0,0.4166666666666667,0.2777777777777778,0.33333333333333337,0
13,5.0,0.38461538461538464,0.2777777777777778,0.3225806451612903,0
14,5.0,0.35714285714285715,0.2777777777777778,0.31250000000000006,0
15,5.0,0.3333333333333333,0.2777777777777778,0.303030303030303,0
16,5.0,0.3125,0.2777777777777778,0.29411764705882354,0
17,5.0,0.29411764705882354,0.2777777777777778,0.28571428571428575,0
18,5.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0
19,5.0,0.2631578947368421,0.2777777777777778,0.27027027027027023,0
20,5.0,0.25,0.2777777777777778,0.2631578947368421,0
