k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.1,0.18181818181818182,1
2,2.0,1.0,0.2,0.33333333333333337,1
3,3.0,1.0,0.3,0.4615384615384615,1
4,4.0,1.0,0.4,0.5714285714285715,1
5,4.0,0.8,0.4,0.5333333333333333,0
6,4.0,0.6666666666666666,0.4,0.5,0
7,4.0,0.5714285714285714,0.4,0.47058823529411764,0
8,4.0,0.5,0.4,0.4444444444444445,0
9,4.0,0.4444444444444444,0.4,0.4210526315789474,0
10,4.0,0.4,0.4,0.4000000000000001,0
11,5.0,0.45454545454545453,0.5,0.47619047619047616,1
12,6.0,0.5,0.6,0.5454545454545454,1
13,6.0,0.46153846153846156,0.6,0.5217391304347826,0
14,7.0,0.5,0.7,0.5833333333333334,1
15,7.0,0.4666666666666667,0.7,0.56,0
16,8.0,0.5,0.8,0.6153846153846154,1
17,8.0,0.47058823529411764,0.8,0.5925925925925927,0
18,9.0,0.5,0.9,0.6428571428571429,1
19,9.0,0.47368421052631576,0.9,0.6206896551724138,0
20,9.0,0.45,0.9,0.6,0
