k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0,0.3333333333333333,0.05263157894736842,0.09090909090909091
4,2.0,0.5,0.10526315789473684,0.17391304347826086
5,2.0,0.4,0.10526315789473684,0.16666666666666666
6,3.0,0.5,0.15789473684210525,0.23999999999999996
7,4.0,0.5714285714285714,0.21052631578947367,0.3076923076923077
8,5.0,0.625,0.2631578947368421,0.37037037037037035
9,6.0,0.6666666666666666,0.3157894736842105,0.42857142857142855
10,7.0,0.7,0.3684210526315789,0.48275862068965514
11,7.0,0.6363636363636364,0.3684210526315789,0.4666666666666667
12,7.0,0.5833333333333334,0.3684210526315789,0.4516129032258065
13,7.0,0.5384615384615384,0.3684210526315789,0.4375
14,8.0,0.5714285714285714,0.42105263157894735,0.48484848484848486
15,9.0,0.6,0.47368421052631576,0.5294117647058824
16,9.0,0.5625,0.47368421052631576,0.5142857142857142
17,9.0,0.5294117647058824,0.47368421052631576,0.5
18,9.0,0.5,0.47368421052631576,0.4864864864864865
19,9.0,0.47368421052631576,0.47368421052631576,0.47368421052631576
20,9.0,0.45,0.47368421052631576,0.46153846153846156
