k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.02857142857142857,0.05405405405405405,1
3,2.0,0.6666666666666666,0.05714285714285714,0.10526315789473684,1
4,3.0,0.75,0.08571428571428572,0.15384615384615383,1
5,4.0,0.8,0.11428571428571428,0.19999999999999998,1
6,4.0,0.6666666666666666,0.11428571428571428,0.19512195121951217,0
7,5.0,0.7142857142857143,0.14285714285714285,0.23809523809523808,1
8,5.0,0.625,0.14285714285714285,0.23255813953488372,0
9,5.0,0.5555555555555556,0.14285714285714285,0.22727272727272727,0
10,6.0,0.6,0.17142857142857143,0.26666666666666666,1
11,6.0,0.5454545454545454,0.17142857142857143,0.26086956521739124,0
12,7.0,0.5833333333333334,0.2,0.2978723404255319,1
13,8.0,0.6153846153846154,0.22857142857142856,0.3333333333333333,1
14,9.0,0.6428571428571429,0.2571428571428571,0.36734693877551017,1
15,10.0,0.6666666666666666,0.2857142857142857,0.4,1
16,11.0,0.6875,0.3142857142857143,0.43137254901960786,1
17,12.0,0.7058823529411765,0.34285714285714286,0.46153846153846156,1
18,12.0,0.6666666666666666,0.34285714285714286,0.4528301886792453,0
19,13.0,0.6842105263157895,0.37142857142857144,0.4814814814814815,1
20,13.0,0.65,0.37142857142857144,0.4727272727272728,0
