k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.058823529411764705,0.1111111111111111,1
2,2.0,1.0,0.11764705882352941,0.21052631578947367,1
3,3.0,1.0,0.17647058823529413,0.3,1
4,4.0,1.0,0.23529411764705882,0.38095238095238093,1
5,5.0,1.0,0.29411764705882354,0.45454545454545453,1
6,5.0,0.8333333333333334,0.29411764705882354,0.4347826086956522,0
7,6.0,0.8571428571428571,0.35294117647058826,0.5,1
8,7.0,0.875,0.4117647058823529,0.56,1
9,8.0,0.8888888888888888,0.47058823529411764,0.6153846153846153,1
10,9.0,0.9,0.5294117647058824,0.6666666666666667,1
11,10.0,0.9090909090909091,0.5882352941176471,0.7142857142857143,1
12,11.0,0.9166666666666666,0.6470588235294118,0.7586206896551724,1
13,11.0,0.8461538461538461,0.6470588235294118,0.7333333333333334,0
14,12.0,0.8571428571428571,0.7058823529411765,0.7741935483870968,1
15,13.0,0.8666666666666667,0.7647058823529411,0.8125,1
16,13.0,0.8125,0.7647058823529411,0.787878787878788,0
17,14.0,0.8235294117647058,0.8235294117647058,0.8235294117647058,1
18,15.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,1
19,16.0,0.8421052631578947,0.9411764705882353,0.8888888888888888,1
20,16.0,0.8,0.9411764705882353,0.8648648648648648,0
