k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.021739130434782608,0.041666666666666664
3,2.0,0.6666666666666666,0.043478260869565216,0.08163265306122448
4,3.0,0.75,0.06521739130434782,0.12
5,4.0,0.8,0.08695652173913043,0.1568627450980392
6,5.0,0.8333333333333334,0.10869565217391304,0.1923076923076923
7,6.0,0.8571428571428571,0.13043478260869565,0.22641509433962262
8,7.0,0.875,0.15217391304347827,0.2592592592592593
9,8.0,0.8888888888888888,0.17391304347826086,0.29090909090909095
10,8.0,0.8,0.17391304347826086,0.2857142857142857
11,9.0,0.8181818181818182,0.1956521739130435,0.3157894736842105
12,10.0,0.8333333333333334,0.21739130434782608,0.3448275862068966
13,11.0,0.8461538461538461,0.2391304347826087,0.3728813559322034
14,11.0,0.7857142857142857,0.2391304347826087,0.36666666666666664
15,12.0,0.8,0.2608695652173913,0.39344262295081966
16,13.0,0.8125,0.2826086956521739,0.41935483870967744
17,14.0,0.8235294117647058,0.30434782608695654,0.4444444444444444
18,15.0,0.8333333333333334,0.32608695652173914,0.46875000000000006
19,16.0,0.8421052631578947,0.34782608695652173,0.49230769230769234
20,17.0,0.85,0.3695652173913043,0.5151515151515151
