k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,1.0,0.14285714285714285,0.07142857142857142,0.09523809523809523
8,2.0,0.25,0.14285714285714285,0.18181818181818182
9,2.0,0.2222222222222222,0.14285714285714285,0.17391304347826086
10,3.0,0.3,0.21428571428571427,0.25
11,3.0,0.2727272727272727,0.21428571428571427,0.23999999999999996
12,3.0,0.25,0.21428571428571427,0.23076923076923075
13,4.0,0.3076923076923077,0.2857142857142857,0.29629629629629634
14,5.0,0.35714285714285715,0.35714285714285715,0.35714285714285715
15,6.0,0.4,0.42857142857142855,0.4137931034482759
16,6.0,0.375,0.42857142857142855,0.39999999999999997
17,6.0,0.35294117647058826,0.42857142857142855,0.3870967741935484
18,6.0,0.3333333333333333,0.42857142857142855,0.375
19,6.0,0.3157894736842105,0.42857142857142855,0.36363636363636365
20,6.0,0.3,0.42857142857142855,0.3529411764705882
