k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.0,0.25,0.14285714285714285,0.18181818181818182
5,1.0,0.2,0.14285714285714285,0.16666666666666666
6,1.0,0.16666666666666666,0.14285714285714285,0.15384615384615383
7,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,1.0,0.125,0.14285714285714285,0.13333333333333333
9,1.0,0.1111111111111111,0.14285714285714285,0.125
10,1.0,0.1,0.14285714285714285,0.11764705882352941
11,2.0,0.18181818181818182,0.2857142857142857,0.2222222222222222
12,2.0,0.16666666666666666,0.2857142857142857,0.2105263157894737
13,3.0,0.23076923076923078,0.42857142857142855,0.3
14,4.0,0.2857142857142857,0.5714285714285714,0.38095238095238093
15,4.0,0.26666666666666666,0.5714285714285714,0.36363636363636365
16,4.0,0.25,0.5714285714285714,0.34782608695652173
17,4.0,0.23529411764705882,0.5714285714285714,0.3333333333333333
18,4.0,0.2222222222222222,0.5714285714285714,0.32
19,4.0,0.21052631578947367,0.5714285714285714,0.3076923076923077
20,4.0,0.2,0.5714285714285714,0.29629629629629634
