k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,1.0,0.5,0.02,0.038461538461538464,1
3,2.0,0.6666666666666666,0.04,0.07547169811320754,1
4,3.0,0.75,0.06,0.1111111111111111,1
5,3.0,0.6,0.06,0.1090909090909091,0
6,4.0,0.6666666666666666,0.08,0.14285714285714285,1
7,4.0,0.5714285714285714,0.08,0.14035087719298248,0
8,4.0,0.5,0.08,0.13793103448275865,0
9,5.0,0.5555555555555556,0.1,0.16949152542372883,1
10,6.0,0.6,0.12,0.19999999999999998,1
11,7.0,0.6363636363636364,0.14,0.22950819672131148,1
12,8.0,0.6666666666666666,0.16,0.25806451612903225,1
13,9.0,0.6923076923076923,0.18,0.28571428571428575,1
14,10.0,0.7142857142857143,0.2,0.3125,1
15,11.0,0.7333333333333333,0.22,0.3384615384615385,1
16,12.0,0.75,0.24,0.36363636363636365,1
17,13.0,0.7647058823529411,0.26,0.3880597014925373,1
18,14.0,0.7777777777777778,0.28,0.4117647058823529,1
19,14.0,0.7368421052631579,0.28,0.40579710144927544,0
20,15.0,0.75,0.3,0.4285714285714285,1
