k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.02,0.0392156862745098,1
2,2.0,1.0,0.04,0.07692307692307693,1
3,3.0,1.0,0.06,0.11320754716981131,1
4,3.0,0.75,0.06,0.1111111111111111,0
5,3.0,0.6,0.06,0.1090909090909091,0
6,3.0,0.5,0.06,0.10714285714285712,0
7,3.0,0.42857142857142855,0.06,0.10526315789473684,0
8,4.0,0.5,0.08,0.13793103448275865,1
9,5.0,0.5555555555555556,0.1,0.16949152542372883,1
10,5.0,0.5,0.1,0.16666666666666669,0
11,5.0,0.45454545454545453,0.1,0.16393442622950818,0
12,5.0,0.4166666666666667,0.1,0.16129032258064516,0
13,6.0,0.46153846153846156,0.12,0.19047619047619047,1
14,7.0,0.5,0.14,0.21875000000000003,1
15,7.0,0.4666666666666667,0.14,0.2153846153846154,0
16,8.0,0.5,0.16,0.24242424242424243,1
17,8.0,0.47058823529411764,0.16,0.23880597014925375,0
18,9.0,0.5,0.18,0.2647058823529412,1
19,10.0,0.5263157894736842,0.2,0.28985507246376807,1
20,11.0,0.55,0.22,0.3142857142857143,1
