k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0
14,1.0,0.07142857142857142,0.058823529411764705,0.06451612903225808,1
15,1.0,0.06666666666666667,0.058823529411764705,0.0625,0
16,1.0,0.0625,0.058823529411764705,0.06060606060606061,0
17,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0
18,1.0,0.05555555555555555,0.058823529411764705,0.05714285714285714,0
19,1.0,0.05263157894736842,0.058823529411764705,0.05555555555555555,0
20,2.0,0.1,0.11764705882352941,0.1081081081081081,1
