k,#hits,precision,recall,fmeasure,hit
1,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0
12,0.0,0.0,0.0,0.0,0
13,1.0,0.07692307692307693,0.2,0.1111111111111111,1
14,1.0,0.07142857142857142,0.2,0.10526315789473682,0
15,1.0,0.06666666666666667,0.2,0.1,0
16,1.0,0.0625,0.2,0.09523809523809523,0
17,1.0,0.058823529411764705,0.2,0.0909090909090909,0
18,1.0,0.05555555555555555,0.2,0.08695652173913045,0
19,1.0,0.05263157894736842,0.2,0.08333333333333333,0
20,1.0,0.05,0.2,0.08000000000000002,0
