k,hits,precision,recall,fmeasure
1,1.0,0.5,0.16666666666666666,0.25
2,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
3,1.0,0.25,0.16666666666666666,0.2
4,1.0,0.2,0.16666666666666666,0.1818181818181818
5,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,2.0,0.2857142857142857,0.3333333333333333,0.30769230769230765
7,2.0,0.25,0.3333333333333333,0.28571428571428575
8,2.0,0.2222222222222222,0.3333333333333333,0.26666666666666666
9,2.0,0.2,0.3333333333333333,0.25
10,3.0,0.2727272727272727,0.5,0.3529411764705882
11,4.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
12,4.0,0.3076923076923077,0.6666666666666666,0.42105263157894735
13,4.0,0.2857142857142857,0.6666666666666666,0.4
14,4.0,0.26666666666666666,0.6666666666666666,0.3809523809523809
15,4.0,0.25,0.6666666666666666,0.36363636363636365
16,4.0,0.23529411764705882,0.6666666666666666,0.3478260869565218
17,4.0,0.2222222222222222,0.6666666666666666,0.3333333333333333
18,4.0,0.21052631578947367,0.6666666666666666,0.32
19,4.0,0.2,0.6666666666666666,0.30769230769230765
