k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.05263157894736842,0.09523809523809525
3,2.0,0.6666666666666666,0.10526315789473684,0.18181818181818182
4,3.0,0.75,0.15789473684210525,0.2608695652173913
5,4.0,0.8,0.21052631578947367,0.3333333333333333
6,5.0,0.8333333333333334,0.2631578947368421,0.39999999999999997
7,6.0,0.8571428571428571,0.3157894736842105,0.46153846153846156
8,6.0,0.75,0.3157894736842105,0.44444444444444436
9,6.0,0.6666666666666666,0.3157894736842105,0.42857142857142855
10,6.0,0.6,0.3157894736842105,0.41379310344827586
11,7.0,0.6363636363636364,0.3684210526315789,0.4666666666666667
12,8.0,0.6666666666666666,0.42105263157894735,0.5161290322580646
13,9.0,0.6923076923076923,0.47368421052631576,0.5625
14,9.0,0.6428571428571429,0.47368421052631576,0.5454545454545454
15,9.0,0.6,0.47368421052631576,0.5294117647058824
16,9.0,0.5625,0.47368421052631576,0.5142857142857142
17,9.0,0.5294117647058824,0.47368421052631576,0.5
18,9.0,0.5,0.47368421052631576,0.4864864864864865
19,9.0,0.47368421052631576,0.47368421052631576,0.47368421052631576
20,9.0,0.45,0.47368421052631576,0.46153846153846156
