k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,1.0,0.2,0.1,0.13333333333333333
6,2.0,0.3333333333333333,0.2,0.25
7,3.0,0.42857142857142855,0.3,0.3529411764705882
8,4.0,0.5,0.4,0.4444444444444445
9,5.0,0.5555555555555556,0.5,0.5263157894736842
10,5.0,0.5,0.5,0.5
11,5.0,0.45454545454545453,0.5,0.47619047619047616
12,6.0,0.5,0.6,0.5454545454545454
13,7.0,0.5384615384615384,0.7,0.608695652173913
14,8.0,0.5714285714285714,0.8,0.6666666666666666
15,9.0,0.6,0.9,0.7200000000000001
16,9.0,0.5625,0.9,0.6923076923076923
17,9.0,0.5294117647058824,0.9,0.6666666666666667
18,9.0,0.5,0.9,0.6428571428571429
19,9.0,0.47368421052631576,0.9,0.6206896551724138
20,9.0,0.45,0.9,0.6
