k,hits,precision,recall,fmeasure
1,1.0,1.0,0.04,0.07692307692307693
2,1.0,0.5,0.04,0.07407407407407407
3,1.0,0.3333333333333333,0.04,0.07142857142857142
4,1.0,0.25,0.04,0.06896551724137932
5,1.0,0.2,0.04,0.06666666666666667
6,1.0,0.16666666666666666,0.04,0.06451612903225806
7,1.0,0.14285714285714285,0.04,0.0625
8,1.0,0.125,0.04,0.06060606060606061
9,1.0,0.1111111111111111,0.04,0.058823529411764705
10,1.0,0.1,0.04,0.05714285714285714
11,1.0,0.09090909090909091,0.04,0.05555555555555555
12,1.0,0.08333333333333333,0.04,0.05405405405405406
13,1.0,0.07692307692307693,0.04,0.052631578947368425
14,1.0,0.07142857142857142,0.04,0.05128205128205128
15,1.0,0.06666666666666667,0.04,0.05
16,2.0,0.125,0.08,0.09756097560975609
17,2.0,0.11764705882352941,0.08,0.09523809523809526
18,2.0,0.1111111111111111,0.08,0.09302325581395349
19,2.0,0.10526315789473684,0.08,0.0909090909090909
20,2.0,0.1,0.08,0.08888888888888889
