k,hits,precision,recall,fmeasure
1,1.0,1.0,0.010416666666666666,0.020618556701030924
2,2.0,1.0,0.020833333333333332,0.04081632653061225
3,3.0,1.0,0.03125,0.06060606060606061
4,4.0,1.0,0.041666666666666664,0.07999999999999999
5,5.0,1.0,0.052083333333333336,0.09900990099009901
6,6.0,1.0,0.0625,0.11764705882352941
7,7.0,1.0,0.07291666666666667,0.13592233009708737
8,8.0,1.0,0.08333333333333333,0.15384615384615385
9,9.0,1.0,0.09375,0.17142857142857143
10,10.0,1.0,0.10416666666666667,0.18867924528301885
11,11.0,1.0,0.11458333333333333,0.205607476635514
12,12.0,1.0,0.125,0.2222222222222222
13,13.0,1.0,0.13541666666666666,0.23853211009174308
14,14.0,1.0,0.14583333333333334,0.2545454545454546
15,14.0,0.9333333333333333,0.14583333333333334,0.2522522522522523
16,15.0,0.9375,0.15625,0.26785714285714285
17,16.0,0.9411764705882353,0.16666666666666666,0.2831858407079646
18,17.0,0.9444444444444444,0.17708333333333334,0.29824561403508776
19,18.0,0.9473684210526315,0.1875,0.3130434782608696
20,19.0,0.95,0.19791666666666666,0.32758620689655166
