k,hits,precision,recall,fmeasure
1,1.0,0.5,0.034482758620689655,0.06451612903225806
2,1.0,0.3333333333333333,0.034482758620689655,0.0625
3,1.0,0.25,0.034482758620689655,0.0606060606060606
4,1.0,0.2,0.034482758620689655,0.0588235294117647
5,2.0,0.3333333333333333,0.06896551724137931,0.1142857142857143
6,2.0,0.2857142857142857,0.06896551724137931,0.1111111111111111
7,3.0,0.375,0.10344827586206896,0.16216216216216217
8,3.0,0.3333333333333333,0.10344827586206896,0.15789473684210528
9,3.0,0.3,0.10344827586206896,0.15384615384615385
10,3.0,0.2727272727272727,0.10344827586206896,0.15
11,3.0,0.25,0.10344827586206896,0.14634146341463414
12,3.0,0.23076923076923078,0.10344827586206896,0.14285714285714288
13,3.0,0.21428571428571427,0.10344827586206896,0.1395348837209302
14,3.0,0.2,0.10344827586206896,0.13636363636363635
15,3.0,0.1875,0.10344827586206896,0.13333333333333333
16,3.0,0.17647058823529413,0.10344827586206896,0.13043478260869565
17,3.0,0.16666666666666666,0.10344827586206896,0.1276595744680851
18,3.0,0.15789473684210525,0.10344827586206896,0.125
19,3.0,0.15,0.10344827586206896,0.12244897959183673
