k,hits,precision,recall,fmeasure
1,1.0,0.5,0.02127659574468085,0.04081632653061224
2,1.0,0.3333333333333333,0.02127659574468085,0.04
3,2.0,0.5,0.0425531914893617,0.0784313725490196
4,2.0,0.4,0.0425531914893617,0.07692307692307691
5,2.0,0.3333333333333333,0.0425531914893617,0.07547169811320754
6,2.0,0.2857142857142857,0.0425531914893617,0.07407407407407407
7,2.0,0.25,0.0425531914893617,0.07272727272727272
8,2.0,0.2222222222222222,0.0425531914893617,0.07142857142857142
9,2.0,0.2,0.0425531914893617,0.07017543859649122
10,2.0,0.18181818181818182,0.0425531914893617,0.06896551724137931
11,2.0,0.16666666666666666,0.0425531914893617,0.06779661016949153
12,2.0,0.15384615384615385,0.0425531914893617,0.06666666666666667
13,3.0,0.21428571428571427,0.06382978723404255,0.0983606557377049
14,3.0,0.2,0.06382978723404255,0.0967741935483871
15,3.0,0.1875,0.06382978723404255,0.09523809523809525
16,4.0,0.23529411764705882,0.0851063829787234,0.125
17,4.0,0.2222222222222222,0.0851063829787234,0.12307692307692307
18,4.0,0.21052631578947367,0.0851063829787234,0.12121212121212122
19,4.0,0.2,0.0851063829787234,0.11940298507462686
