k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,1.0,0.1,0.25,0.14285714285714288
11,1.0,0.09090909090909091,0.25,0.13333333333333333
12,1.0,0.08333333333333333,0.25,0.125
13,1.0,0.07692307692307693,0.25,0.11764705882352941
14,1.0,0.07142857142857142,0.25,0.11111111111111112
15,1.0,0.06666666666666667,0.25,0.10526315789473685
16,2.0,0.125,0.5,0.2
17,2.0,0.11764705882352941,0.5,0.19047619047619047
18,2.0,0.1111111111111111,0.5,0.1818181818181818
19,2.0,0.10526315789473684,0.5,0.17391304347826086
20,2.0,0.1,0.5,0.16666666666666669
