k,hits,precision,recall,fmeasure
1,1.0,1.0,0.038461538461538464,0.07407407407407407
2,1.0,0.5,0.038461538461538464,0.07142857142857144
3,1.0,0.3333333333333333,0.038461538461538464,0.06896551724137931
4,1.0,0.25,0.038461538461538464,0.06666666666666668
5,1.0,0.2,0.038461538461538464,0.06451612903225806
6,1.0,0.16666666666666666,0.038461538461538464,0.0625
7,2.0,0.2857142857142857,0.07692307692307693,0.12121212121212123
8,2.0,0.25,0.07692307692307693,0.11764705882352941
9,2.0,0.2222222222222222,0.07692307692307693,0.1142857142857143
10,2.0,0.2,0.07692307692307693,0.1111111111111111
11,2.0,0.18181818181818182,0.07692307692307693,0.10810810810810811
12,2.0,0.16666666666666666,0.07692307692307693,0.10526315789473684
13,2.0,0.15384615384615385,0.07692307692307693,0.10256410256410257
14,2.0,0.14285714285714285,0.07692307692307693,0.1
15,3.0,0.2,0.11538461538461539,0.14634146341463417
16,3.0,0.1875,0.11538461538461539,0.14285714285714285
17,3.0,0.17647058823529413,0.11538461538461539,0.13953488372093026
18,3.0,0.16666666666666666,0.11538461538461539,0.13636363636363638
19,3.0,0.15789473684210525,0.11538461538461539,0.13333333333333333
20,4.0,0.2,0.15384615384615385,0.17391304347826086
