k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,1.0,0.07692307692307693,0.029411764705882353,0.0425531914893617
14,1.0,0.07142857142857142,0.029411764705882353,0.041666666666666664
15,1.0,0.06666666666666667,0.029411764705882353,0.04081632653061225
16,1.0,0.0625,0.029411764705882353,0.039999999999999994
17,1.0,0.058823529411764705,0.029411764705882353,0.03921568627450981
18,1.0,0.05555555555555555,0.029411764705882353,0.03846153846153846
19,1.0,0.05263157894736842,0.029411764705882353,0.03773584905660377
20,1.0,0.05,0.029411764705882353,0.03703703703703704
