k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,1.0,0.125,0.01694915254237288,0.029850746268656716
9,2.0,0.2222222222222222,0.03389830508474576,0.0588235294117647
10,2.0,0.2,0.03389830508474576,0.05797101449275363
11,2.0,0.18181818181818182,0.03389830508474576,0.05714285714285715
12,2.0,0.16666666666666666,0.03389830508474576,0.056338028169014086
13,2.0,0.15384615384615385,0.03389830508474576,0.05555555555555555
14,3.0,0.21428571428571427,0.05084745762711865,0.08219178082191782
15,3.0,0.2,0.05084745762711865,0.08108108108108107
16,3.0,0.1875,0.05084745762711865,0.08
17,3.0,0.17647058823529413,0.05084745762711865,0.07894736842105263
18,3.0,0.16666666666666666,0.05084745762711865,0.07792207792207792
19,3.0,0.15789473684210525,0.05084745762711865,0.07692307692307693
20,3.0,0.15,0.05084745762711865,0.0759493670886076
