k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.021739130434782608,0.041666666666666664
3,1.0,0.3333333333333333,0.021739130434782608,0.04081632653061224
4,1.0,0.25,0.021739130434782608,0.04
5,1.0,0.2,0.021739130434782608,0.0392156862745098
6,1.0,0.16666666666666666,0.021739130434782608,0.03846153846153846
7,2.0,0.2857142857142857,0.043478260869565216,0.07547169811320756
8,3.0,0.375,0.06521739130434782,0.11111111111111109
9,4.0,0.4444444444444444,0.08695652173913043,0.14545454545454548
10,5.0,0.5,0.10869565217391304,0.17857142857142855
11,5.0,0.45454545454545453,0.10869565217391304,0.1754385964912281
12,5.0,0.4166666666666667,0.10869565217391304,0.1724137931034483
13,5.0,0.38461538461538464,0.10869565217391304,0.1694915254237288
14,5.0,0.35714285714285715,0.10869565217391304,0.16666666666666666
15,5.0,0.3333333333333333,0.10869565217391304,0.16393442622950818
16,5.0,0.3125,0.10869565217391304,0.16129032258064516
17,5.0,0.29411764705882354,0.10869565217391304,0.15873015873015875
18,5.0,0.2777777777777778,0.10869565217391304,0.15625
19,5.0,0.2631578947368421,0.10869565217391304,0.15384615384615385
20,6.0,0.3,0.13043478260869565,0.18181818181818182
