k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0,0.3333333333333333,0.021739130434782608,0.04081632653061224
4,1.0,0.25,0.021739130434782608,0.04
5,2.0,0.4,0.043478260869565216,0.0784313725490196
6,2.0,0.3333333333333333,0.043478260869565216,0.07692307692307691
7,2.0,0.2857142857142857,0.043478260869565216,0.07547169811320756
8,2.0,0.25,0.043478260869565216,0.07407407407407408
9,2.0,0.2222222222222222,0.043478260869565216,0.07272727272727274
10,2.0,0.2,0.043478260869565216,0.07142857142857142
11,2.0,0.18181818181818182,0.043478260869565216,0.07017543859649122
12,2.0,0.16666666666666666,0.043478260869565216,0.06896551724137931
13,2.0,0.15384615384615385,0.043478260869565216,0.06779661016949153
14,2.0,0.14285714285714285,0.043478260869565216,0.06666666666666667
15,2.0,0.13333333333333333,0.043478260869565216,0.06557377049180328
16,2.0,0.125,0.043478260869565216,0.06451612903225806
17,2.0,0.11764705882352941,0.043478260869565216,0.06349206349206349
18,2.0,0.1111111111111111,0.043478260869565216,0.0625
19,2.0,0.10526315789473684,0.043478260869565216,0.06153846153846154
20,2.0,0.1,0.043478260869565216,0.06060606060606061
