k,hits,precision,recall,fmeasure
1,1.0,0.5,0.125,0.2
2,1.0,0.3333333333333333,0.125,0.18181818181818182
3,1.0,0.25,0.125,0.16666666666666666
4,1.0,0.2,0.125,0.15384615384615385
5,2.0,0.3333333333333333,0.25,0.28571428571428575
6,2.0,0.2857142857142857,0.25,0.26666666666666666
7,2.0,0.25,0.25,0.25
8,2.0,0.2222222222222222,0.25,0.23529411764705882
9,2.0,0.2,0.25,0.22222222222222224
10,2.0,0.18181818181818182,0.25,0.2105263157894737
11,2.0,0.16666666666666666,0.25,0.2
12,2.0,0.15384615384615385,0.25,0.1904761904761905
13,2.0,0.14285714285714285,0.25,0.18181818181818182
14,2.0,0.13333333333333333,0.25,0.1739130434782609
15,2.0,0.125,0.25,0.16666666666666666
16,2.0,0.11764705882352941,0.25,0.15999999999999998
17,2.0,0.1111111111111111,0.25,0.15384615384615383
18,2.0,0.10526315789473684,0.25,0.14814814814814814
19,2.0,0.1,0.25,0.14285714285714288
