k,hits,precision,recall,fmeasure
1,1.0,0.5,0.2,0.28571428571428575
2,1.0,0.3333333333333333,0.2,0.25
3,1.0,0.25,0.2,0.22222222222222224
4,1.0,0.2,0.2,0.20000000000000004
5,1.0,0.16666666666666666,0.2,0.1818181818181818
6,1.0,0.14285714285714285,0.2,0.16666666666666666
7,1.0,0.125,0.2,0.15384615384615385
8,1.0,0.1111111111111111,0.2,0.14285714285714285
9,1.0,0.1,0.2,0.13333333333333333
10,1.0,0.09090909090909091,0.2,0.12500000000000003
11,1.0,0.08333333333333333,0.2,0.11764705882352941
12,1.0,0.07692307692307693,0.2,0.1111111111111111
13,1.0,0.07142857142857142,0.2,0.10526315789473682
14,1.0,0.06666666666666667,0.2,0.1
15,2.0,0.125,0.4,0.19047619047619047
16,3.0,0.17647058823529413,0.6,0.2727272727272727
17,4.0,0.2222222222222222,0.8,0.3478260869565218
18,4.0,0.21052631578947367,0.8,0.3333333333333333
19,5.0,0.25,1.0,0.4
