k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,1.0,0.07142857142857142,0.03571428571428571,0.047619047619047616
15,1.0,0.06666666666666667,0.03571428571428571,0.046511627906976744
16,1.0,0.0625,0.03571428571428571,0.045454545454545456
17,1.0,0.058823529411764705,0.03571428571428571,0.044444444444444446
18,1.0,0.05555555555555555,0.03571428571428571,0.043478260869565216
19,1.0,0.05263157894736842,0.03571428571428571,0.0425531914893617
20,1.0,0.05,0.03571428571428571,0.041666666666666664
