k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,1.0,0.07142857142857142,0.021739130434782608,0.03333333333333333
15,1.0,0.06666666666666667,0.021739130434782608,0.03278688524590164
16,1.0,0.0625,0.021739130434782608,0.03225806451612903
17,1.0,0.058823529411764705,0.021739130434782608,0.031746031746031744
18,1.0,0.05555555555555555,0.021739130434782608,0.03125
19,1.0,0.05263157894736842,0.021739130434782608,0.03076923076923077
20,1.0,0.05,0.021739130434782608,0.030303030303030304
