k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0,0.3333333333333333,0.010416666666666666,0.0202020202020202
4,1.0,0.25,0.010416666666666666,0.019999999999999997
5,1.0,0.2,0.010416666666666666,0.019801980198019802
6,1.0,0.16666666666666666,0.010416666666666666,0.0196078431372549
7,1.0,0.14285714285714285,0.010416666666666666,0.01941747572815534
8,1.0,0.125,0.010416666666666666,0.019230769230769232
9,2.0,0.2222222222222222,0.020833333333333332,0.03809523809523809
10,2.0,0.2,0.020833333333333332,0.03773584905660377
11,2.0,0.18181818181818182,0.020833333333333332,0.037383177570093455
12,2.0,0.16666666666666666,0.020833333333333332,0.037037037037037035
13,2.0,0.15384615384615385,0.020833333333333332,0.03669724770642201
14,2.0,0.14285714285714285,0.020833333333333332,0.03636363636363636
15,2.0,0.13333333333333333,0.020833333333333332,0.03603603603603603
16,2.0,0.125,0.020833333333333332,0.03571428571428571
17,2.0,0.11764705882352941,0.020833333333333332,0.035398230088495575
18,2.0,0.1111111111111111,0.020833333333333332,0.03508771929824561
19,3.0,0.15789473684210525,0.03125,0.05217391304347826
20,3.0,0.15,0.03125,0.05172413793103448
