k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.3333333333333333,0.034482758620689655,0.0625
3,1.0,0.25,0.034482758620689655,0.0606060606060606
4,1.0,0.2,0.034482758620689655,0.0588235294117647
5,1.0,0.16666666666666666,0.034482758620689655,0.05714285714285715
6,1.0,0.14285714285714285,0.034482758620689655,0.05555555555555555
7,1.0,0.125,0.034482758620689655,0.05405405405405405
8,1.0,0.1111111111111111,0.034482758620689655,0.05263157894736842
9,2.0,0.2,0.06896551724137931,0.10256410256410257
10,2.0,0.18181818181818182,0.06896551724137931,0.1
11,2.0,0.16666666666666666,0.06896551724137931,0.0975609756097561
12,3.0,0.23076923076923078,0.10344827586206896,0.14285714285714288
13,3.0,0.21428571428571427,0.10344827586206896,0.1395348837209302
14,3.0,0.2,0.10344827586206896,0.13636363636363635
15,3.0,0.1875,0.10344827586206896,0.13333333333333333
16,4.0,0.23529411764705882,0.13793103448275862,0.17391304347826086
17,5.0,0.2777777777777778,0.1724137931034483,0.21276595744680854
18,6.0,0.3157894736842105,0.20689655172413793,0.25
19,6.0,0.3,0.20689655172413793,0.24489795918367346
