k,hits,precision,recall,fmeasure
1,1.0,0.5,0.01818181818181818,0.03508771929824561
2,1.0,0.3333333333333333,0.01818181818181818,0.034482758620689655
3,1.0,0.25,0.01818181818181818,0.03389830508474576
4,1.0,0.2,0.01818181818181818,0.03333333333333333
5,1.0,0.16666666666666666,0.01818181818181818,0.032786885245901634
6,1.0,0.14285714285714285,0.01818181818181818,0.032258064516129024
7,1.0,0.125,0.01818181818181818,0.031746031746031744
8,1.0,0.1111111111111111,0.01818181818181818,0.03125
9,1.0,0.1,0.01818181818181818,0.030769230769230767
10,1.0,0.09090909090909091,0.01818181818181818,0.0303030303030303
11,1.0,0.08333333333333333,0.01818181818181818,0.029850746268656716
12,1.0,0.07692307692307693,0.01818181818181818,0.02941176470588235
13,1.0,0.07142857142857142,0.01818181818181818,0.028985507246376805
14,1.0,0.06666666666666667,0.01818181818181818,0.028571428571428574
15,2.0,0.125,0.03636363636363636,0.05633802816901408
16,2.0,0.11764705882352941,0.03636363636363636,0.055555555555555566
17,2.0,0.1111111111111111,0.03636363636363636,0.0547945205479452
18,2.0,0.10526315789473684,0.03636363636363636,0.05405405405405405
19,2.0,0.1,0.03636363636363636,0.05333333333333334
