k,hits,precision,recall,fmeasure
1,1.0,1.0,0.010101010101010102,0.02
2,1.0,0.5,0.010101010101010102,0.019801980198019806
3,1.0,0.3333333333333333,0.010101010101010102,0.019607843137254905
4,1.0,0.25,0.010101010101010102,0.01941747572815534
5,1.0,0.2,0.010101010101010102,0.019230769230769232
6,1.0,0.16666666666666666,0.010101010101010102,0.01904761904761905
7,1.0,0.14285714285714285,0.010101010101010102,0.018867924528301886
8,1.0,0.125,0.010101010101010102,0.018691588785046728
9,1.0,0.1111111111111111,0.010101010101010102,0.01851851851851852
10,1.0,0.1,0.010101010101010102,0.018348623853211014
11,1.0,0.09090909090909091,0.010101010101010102,0.018181818181818184
12,1.0,0.08333333333333333,0.010101010101010102,0.01801801801801802
13,1.0,0.07692307692307693,0.010101010101010102,0.01785714285714286
14,1.0,0.07142857142857142,0.010101010101010102,0.01769911504424779
15,1.0,0.06666666666666667,0.010101010101010102,0.01754385964912281
16,1.0,0.0625,0.010101010101010102,0.01739130434782609
17,1.0,0.058823529411764705,0.010101010101010102,0.01724137931034483
18,1.0,0.05555555555555555,0.010101010101010102,0.017094017094017096
19,1.0,0.05263157894736842,0.010101010101010102,0.016949152542372885
20,1.0,0.05,0.010101010101010102,0.016806722689075633
