k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,1.0,0.2,0.05263157894736842,0.08333333333333333
6,1.0,0.16666666666666666,0.05263157894736842,0.08
7,1.0,0.14285714285714285,0.05263157894736842,0.07692307692307693
8,1.0,0.125,0.05263157894736842,0.07407407407407407
9,1.0,0.1111111111111111,0.05263157894736842,0.07142857142857142
10,1.0,0.1,0.05263157894736842,0.06896551724137931
11,1.0,0.09090909090909091,0.05263157894736842,0.06666666666666667
12,1.0,0.08333333333333333,0.05263157894736842,0.06451612903225808
13,1.0,0.07692307692307693,0.05263157894736842,0.0625
14,1.0,0.07142857142857142,0.05263157894736842,0.06060606060606061
15,1.0,0.06666666666666667,0.05263157894736842,0.058823529411764705
16,1.0,0.0625,0.05263157894736842,0.05714285714285714
17,1.0,0.058823529411764705,0.05263157894736842,0.05555555555555555
18,1.0,0.05555555555555555,0.05263157894736842,0.05405405405405406
19,1.0,0.05263157894736842,0.05263157894736842,0.05263157894736842
20,1.0,0.05,0.05263157894736842,0.05128205128205128
