k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.1,0.16666666666666669
3,1.0,0.3333333333333333,0.1,0.15384615384615383
4,1.0,0.25,0.1,0.14285714285714288
5,1.0,0.2,0.1,0.13333333333333333
6,2.0,0.3333333333333333,0.2,0.25
7,2.0,0.2857142857142857,0.2,0.23529411764705882
8,2.0,0.25,0.2,0.22222222222222224
9,2.0,0.2222222222222222,0.2,0.2105263157894737
10,2.0,0.2,0.2,0.20000000000000004
11,2.0,0.18181818181818182,0.2,0.1904761904761905
12,2.0,0.16666666666666666,0.2,0.1818181818181818
13,2.0,0.15384615384615385,0.2,0.17391304347826086
14,2.0,0.14285714285714285,0.2,0.16666666666666666
15,2.0,0.13333333333333333,0.2,0.16
16,2.0,0.125,0.2,0.15384615384615385
17,2.0,0.11764705882352941,0.2,0.14814814814814817
18,2.0,0.1111111111111111,0.2,0.14285714285714285
19,2.0,0.10526315789473684,0.2,0.13793103448275862
20,2.0,0.1,0.2,0.13333333333333333
