k,hits,precision,recall,fmeasure
1,1.0,1.0,0.25,0.4
2,1.0,0.5,0.25,0.3333333333333333
3,1.0,0.3333333333333333,0.25,0.28571428571428575
4,1.0,0.25,0.25,0.25
5,1.0,0.2,0.25,0.22222222222222224
6,1.0,0.16666666666666666,0.25,0.2
7,1.0,0.14285714285714285,0.25,0.18181818181818182
8,1.0,0.125,0.25,0.16666666666666666
9,1.0,0.1111111111111111,0.25,0.15384615384615383
10,1.0,0.1,0.25,0.14285714285714288
11,1.0,0.09090909090909091,0.25,0.13333333333333333
12,1.0,0.08333333333333333,0.25,0.125
13,1.0,0.07692307692307693,0.25,0.11764705882352941
14,1.0,0.07142857142857142,0.25,0.11111111111111112
15,1.0,0.06666666666666667,0.25,0.10526315789473685
16,2.0,0.125,0.5,0.2
17,3.0,0.17647058823529413,0.75,0.2857142857142857
18,4.0,0.2222222222222222,1.0,0.3636363636363636
19,4.0,0.21052631578947367,1.0,0.34782608695652173
20,4.0,0.2,1.0,0.33333333333333337
