k,hits,precision,recall,fmeasure
1,1.0,1.0,0.04,0.07692307692307693
2,1.0,0.5,0.04,0.07407407407407407
3,1.0,0.3333333333333333,0.04,0.07142857142857142
4,1.0,0.25,0.04,0.06896551724137932
5,2.0,0.4,0.08,0.13333333333333333
6,2.0,0.3333333333333333,0.08,0.12903225806451613
7,2.0,0.2857142857142857,0.08,0.125
8,2.0,0.25,0.08,0.12121212121212122
9,2.0,0.2222222222222222,0.08,0.11764705882352941
10,2.0,0.2,0.08,0.11428571428571428
11,2.0,0.18181818181818182,0.08,0.1111111111111111
12,3.0,0.25,0.12,0.16216216216216217
13,3.0,0.23076923076923078,0.12,0.15789473684210525
14,3.0,0.21428571428571427,0.12,0.15384615384615383
15,4.0,0.26666666666666666,0.16,0.2
16,4.0,0.25,0.16,0.19512195121951217
17,4.0,0.23529411764705882,0.16,0.19047619047619052
18,4.0,0.2222222222222222,0.16,0.18604651162790697
19,4.0,0.21052631578947367,0.16,0.1818181818181818
20,5.0,0.25,0.2,0.22222222222222224
