k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.02702702702702703,0.05128205128205129
3,1.0,0.3333333333333333,0.02702702702702703,0.05
4,2.0,0.5,0.05405405405405406,0.0975609756097561
5,2.0,0.4,0.05405405405405406,0.09523809523809523
6,2.0,0.3333333333333333,0.05405405405405406,0.09302325581395349
7,2.0,0.2857142857142857,0.05405405405405406,0.09090909090909091
8,2.0,0.25,0.05405405405405406,0.08888888888888889
9,2.0,0.2222222222222222,0.05405405405405406,0.08695652173913043
10,2.0,0.2,0.05405405405405406,0.0851063829787234
11,2.0,0.18181818181818182,0.05405405405405406,0.08333333333333334
12,2.0,0.16666666666666666,0.05405405405405406,0.0816326530612245
13,2.0,0.15384615384615385,0.05405405405405406,0.08
14,2.0,0.14285714285714285,0.05405405405405406,0.0784313725490196
15,2.0,0.13333333333333333,0.05405405405405406,0.07692307692307693
16,2.0,0.125,0.05405405405405406,0.07547169811320754
17,2.0,0.11764705882352941,0.05405405405405406,0.07407407407407408
18,2.0,0.1111111111111111,0.05405405405405406,0.07272727272727272
19,2.0,0.10526315789473684,0.05405405405405406,0.07142857142857144
20,2.0,0.1,0.05405405405405406,0.07017543859649122
