k,hits,precision,recall,fmeasure
1,1.0,0.5,0.02127659574468085,0.04081632653061224
2,2.0,0.6666666666666666,0.0425531914893617,0.08
3,2.0,0.5,0.0425531914893617,0.0784313725490196
4,2.0,0.4,0.0425531914893617,0.07692307692307691
5,3.0,0.5,0.06382978723404255,0.11320754716981131
6,3.0,0.42857142857142855,0.06382978723404255,0.1111111111111111
7,3.0,0.375,0.06382978723404255,0.1090909090909091
8,3.0,0.3333333333333333,0.06382978723404255,0.10714285714285714
9,3.0,0.3,0.06382978723404255,0.10526315789473684
10,4.0,0.36363636363636365,0.0851063829787234,0.13793103448275862
11,4.0,0.3333333333333333,0.0851063829787234,0.13559322033898305
12,4.0,0.3076923076923077,0.0851063829787234,0.13333333333333333
13,4.0,0.2857142857142857,0.0851063829787234,0.13114754098360654
14,4.0,0.26666666666666666,0.0851063829787234,0.12903225806451613
15,4.0,0.25,0.0851063829787234,0.12698412698412698
16,4.0,0.23529411764705882,0.0851063829787234,0.125
17,4.0,0.2222222222222222,0.0851063829787234,0.12307692307692307
18,4.0,0.21052631578947367,0.0851063829787234,0.12121212121212122
19,4.0,0.2,0.0851063829787234,0.11940298507462686
