k,hits,precision,recall,fmeasure
1,1.0,1.0,0.041666666666666664,0.07999999999999999
2,2.0,1.0,0.08333333333333333,0.15384615384615385
3,3.0,1.0,0.125,0.2222222222222222
4,4.0,1.0,0.16666666666666666,0.2857142857142857
5,4.0,0.8,0.16666666666666666,0.27586206896551724
6,4.0,0.6666666666666666,0.16666666666666666,0.26666666666666666
7,5.0,0.7142857142857143,0.20833333333333334,0.3225806451612903
8,6.0,0.75,0.25,0.375
9,7.0,0.7777777777777778,0.2916666666666667,0.42424242424242425
10,8.0,0.8,0.3333333333333333,0.47058823529411764
11,9.0,0.8181818181818182,0.375,0.5142857142857142
12,10.0,0.8333333333333334,0.4166666666666667,0.5555555555555556
13,10.0,0.7692307692307693,0.4166666666666667,0.5405405405405406
14,11.0,0.7857142857142857,0.4583333333333333,0.5789473684210527
15,12.0,0.8,0.5,0.6153846153846154
16,12.0,0.75,0.5,0.6
17,13.0,0.7647058823529411,0.5416666666666666,0.6341463414634146
18,14.0,0.7777777777777778,0.5833333333333334,0.6666666666666666
19,15.0,0.7894736842105263,0.625,0.6976744186046512
20,15.0,0.75,0.625,0.6818181818181818
