k,hits,precision,recall,fmeasure
1,1.0,0.5,0.058823529411764705,0.10526315789473684
2,2.0,0.6666666666666666,0.11764705882352941,0.2
3,2.0,0.5,0.11764705882352941,0.19047619047619047
4,2.0,0.4,0.11764705882352941,0.1818181818181818
5,3.0,0.5,0.17647058823529413,0.2608695652173913
6,3.0,0.42857142857142855,0.17647058823529413,0.25
7,4.0,0.5,0.23529411764705882,0.31999999999999995
8,4.0,0.4444444444444444,0.23529411764705882,0.30769230769230765
9,5.0,0.5,0.29411764705882354,0.37037037037037035
10,5.0,0.45454545454545453,0.29411764705882354,0.35714285714285715
11,5.0,0.4166666666666667,0.29411764705882354,0.3448275862068966
12,6.0,0.46153846153846156,0.35294117647058826,0.4000000000000001
13,7.0,0.5,0.4117647058823529,0.45161290322580644
14,8.0,0.5333333333333333,0.47058823529411764,0.5
15,9.0,0.5625,0.5294117647058824,0.5454545454545455
16,10.0,0.5882352941176471,0.5882352941176471,0.5882352941176471
17,11.0,0.6111111111111112,0.6470588235294118,0.6285714285714287
18,11.0,0.5789473684210527,0.6470588235294118,0.6111111111111113
19,12.0,0.6,0.7058823529411765,0.6486486486486486
