k,#hits,precision,recall,fmeasure,hit
1,1.0,1.0,0.05,0.09523809523809523,1
2,2.0,1.0,0.1,0.18181818181818182,1
3,3.0,1.0,0.15,0.2608695652173913,1
4,4.0,1.0,0.2,0.33333333333333337,1
5,5.0,1.0,0.25,0.4,1
6,6.0,1.0,0.3,0.4615384615384615,1
7,7.0,1.0,0.35,0.5185185185185185,1
8,7.0,0.875,0.35,0.4999999999999999,0
9,7.0,0.7777777777777778,0.35,0.48275862068965514,0
10,8.0,0.8,0.4,0.5333333333333333,1
11,9.0,0.8181818181818182,0.45,0.5806451612903226,1
12,10.0,0.8333333333333334,0.5,0.625,1
13,11.0,0.8461538461538461,0.55,0.6666666666666667,1
14,11.0,0.7857142857142857,0.55,0.6470588235294117,0
15,12.0,0.8,0.6,0.6857142857142857,1
16,13.0,0.8125,0.65,0.7222222222222223,1
17,14.0,0.8235294117647058,0.7,0.7567567567567567,1
18,14.0,0.7777777777777778,0.7,0.7368421052631577,0
19,15.0,0.7894736842105263,0.75,0.7692307692307692,1
20,16.0,0.8,0.8,0.8000000000000002,1
