k,hits,precision,recall,fmeasure
1,1.0,1.0,0.1,0.18181818181818182
2,2.0,1.0,0.2,0.33333333333333337
3,3.0,1.0,0.3,0.4615384615384615
4,3.0,0.75,0.3,0.4285714285714285
5,3.0,0.6,0.3,0.4
6,3.0,0.5,0.3,0.37499999999999994
7,3.0,0.42857142857142855,0.3,0.3529411764705882
8,3.0,0.375,0.3,0.33333333333333326
9,3.0,0.3333333333333333,0.3,0.3157894736842105
10,3.0,0.3,0.3,0.3
11,3.0,0.2727272727272727,0.3,0.28571428571428564
12,3.0,0.25,0.3,0.2727272727272727
13,3.0,0.23076923076923078,0.3,0.2608695652173913
14,4.0,0.2857142857142857,0.4,0.3333333333333333
15,4.0,0.26666666666666666,0.4,0.32
16,4.0,0.25,0.4,0.3076923076923077
17,4.0,0.23529411764705882,0.4,0.29629629629629634
18,4.0,0.2222222222222222,0.4,0.2857142857142857
19,4.0,0.21052631578947367,0.4,0.27586206896551724
20,4.0,0.2,0.4,0.26666666666666666
