k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.14285714285714285,0.22222222222222224
3,2.0,0.6666666666666666,0.2857142857142857,0.4
4,2.0,0.5,0.2857142857142857,0.36363636363636365
5,3.0,0.6,0.42857142857142855,0.5
6,4.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
7,4.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
8,4.0,0.5,0.5714285714285714,0.5333333333333333
9,4.0,0.4444444444444444,0.5714285714285714,0.5
10,4.0,0.4,0.5714285714285714,0.47058823529411764
11,4.0,0.36363636363636365,0.5714285714285714,0.4444444444444444
12,4.0,0.3333333333333333,0.5714285714285714,0.4210526315789474
13,4.0,0.3076923076923077,0.5714285714285714,0.4
14,4.0,0.2857142857142857,0.5714285714285714,0.38095238095238093
15,4.0,0.26666666666666666,0.5714285714285714,0.36363636363636365
16,4.0,0.25,0.5714285714285714,0.34782608695652173
17,4.0,0.23529411764705882,0.5714285714285714,0.3333333333333333
18,4.0,0.2222222222222222,0.5714285714285714,0.32
19,4.0,0.21052631578947367,0.5714285714285714,0.3076923076923077
20,4.0,0.2,0.5714285714285714,0.29629629629629634
